ts	                te	                td	    sa	            da	        sp	    dp	    pr	flg	     fwd stos	ipkt	ibyt	opkt	obyt	in	out	sas	das	smk	dmk	dtos	dir	nh	nhb	svln	dvln	ismc	odmc	idmc	osmc	mpls1	mpls2	mpls3	mpls4	mpls5	mpls6	mpls7	mpls8	mpls9	mpls10	cl	sl	al	ra	eng	exid	tr
2011-01-07 16:31:04	2011-01-07 16:31:31	27,017	10.100.65.124	224.0.1.140	32385	5246	UDP	........	0	0	2	452	0	0	1	0	0	0	32	0	0	0	0.0.0.0	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:27.618
2011-01-07 16:31:10	2011-01-07 16:31:31	20,18	10.100.65.126	255.255.255.255	39160	5246	UDP	........	0	0	2	470	0	0	1	0	0	0	32	32	0	0	127.0.0.1	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:27.618
2011-01-07 16:31:15	2011-01-07 16:31:31	15,056	10.100.65.173	239.255.255.250	59237	1900	UDP	........	0	0	4	884	0	0	1	0	0	0	32	0	0	0	0.0.0.0	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	0/0	1	2024-06-18 13:20:27.618
2011-01-07 16:31:04	2011-01-07 16:31:31	27,017	10.100.65.124	255.255.255.255	32385	5246	UDP	........	0	0	2	452	0	0	1	0	0	0	32	32	0	0	127.0.0.1	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:27.618
2011-01-07 16:31:15	2011-01-07 16:31:31	15,056	10.100.65.163	239.255.255.250	59239	1900	UDP	........	0	0	4	884	0	0	1	0	0	0	32	0	0	0	0.0.0.0	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:27.618
2011-01-07 16:31:10	2011-01-07 16:31:31	21,014	10.100.65.126	224.0.1.140	39160	5246	UDP	........	0	0	2	470	0	0	1	0	0	0	32	0	0	0	0.0.0.0	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:27.618
2011-01-07 16:31:00	2011-01-07 16:31:42	42,03	10.100.65.154	255.255.255.255	33579	5246	UDP	........	0	0	3	678	0	0	1	0	0	0	32	32	0	0	127.0.0.1	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	0/0	1	2024-06-18 13:20:39.618
2011-01-07 16:31:00	2011-01-07 16:31:42	42,03	10.100.65.154	224.0.1.140	33579	5246	UDP	........	0	0	3	678	0	0	1	0	0	0	32	0	0	0	0.0.0.0	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	0/0	1	2024-06-18 13:20:39.618
2011-01-07 16:31:23	2011-01-07 16:31:42	18,088	0.0.0.0	0.0.0.0	0	0	0	........	0	0	1	166	0	0	1	0	0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	e8:78:ee:ef:7d:2f	00:00:00:00:00:00	33:33:00:01:00:02	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:39.618
2011-01-07 16:31:27	2011-01-07 16:31:42	15,001	0.0.0.0	0.0.0.0	0	0	0	........	0	0	1	167	0	0	1	0	0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	00:00:fc:00:9a:e2	00:00:00:00:00:00	33:33:00:01:00:02	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:39.618
2011-01-07 16:31:40	2011-01-07 16:31:52	12,187	10.100.65.154	255.255.255.255	9647	5246	UDP	........	0	0	1	226	0	0	1	0	0	0	32	32	0	0	127.0.0.1	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:47.802
2011-01-07 16:31:30	2011-01-07 16:31:52	22,001	10.100.65.173	224.0.0.252	53028	5355	UDP	........	0	0	2	156	0	0	1	0	0	0	32	0	0	0	0.0.0.0	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:47.802
2011-01-07 16:31:25	2011-01-07 16:31:52	27,016	10.100.65.124	255.255.255.255	32386	5246	UDP	........	0	0	3	678	0	0	1	0	0	0	32	32	0	0	127.0.0.1	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:47.802
2011-01-07 16:31:32	2011-01-07 16:31:52	20,028	10.100.65.173	224.0.0.252	57772	5355	UDP	........	0	0	2	156	0	0	1	0	0	0	32	0	0	0	0.0.0.0	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:47.802
2011-01-07 16:31:32	2011-01-07 16:31:52	20,028	10.100.65.163	224.0.0.252	54731	5355	UDP	........	0	0	2	156	0	0	1	0	0	0	32	0	0	0	0.0.0.0	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:47.802
2011-01-07 16:31:11	2011-01-07 16:31:52	41,176	10.100.65.123	224.0.1.140	20725	5246	UDP	........	0	0	3	687	0	0	1	0	0	0	32	0	0	0	0.0.0.0	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:47.802
2011-01-07 16:31:21	2011-01-07 16:31:52	31,017	10.100.65.59	255.255.255.255	25475	5246	UDP	........	0	0	2	452	0	0	1	0	0	0	32	32	0	0	127.0.0.1	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:47.802
2011-01-07 16:31:32	2011-01-07 16:31:52	20,028	10.100.65.163	224.0.0.252	59409	5355	UDP	........	0	0	2	156	0	0	1	0	0	0	32	0	0	0	0.0.0.0	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:47.802
2011-01-07 16:31:30	2011-01-07 16:31:52	22,001	10.100.65.173	224.0.0.251	5353	5353	UDP	........	0	0	24	2016	0	0	1	0	0	0	32	0	0	0	0.0.0.0	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:47.802
2011-01-07 16:31:30	2011-01-07 16:31:52	22,001	10.100.65.163	10.100.65.255	137	137	UDP	........	0	0	6	576	0	0	1	0	0	0	32	32	0	0	10.100.65.135	0.0.0.0	0	0	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	00:00:00:00:00:00	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	    0.000	    0.000	    0.000	10.100.65.135	1/0	1	2024-06-18 13:20:47.802
